id_bien;id_codedep_codecommune;numero_voie;btq;type_voie;nom_voie;surface_carrez;type_local;surface_local;total_piece
20286;51573;13;;RUE;JEAN BAPTISTE MOTTE;63,13;Appartement;64;4
20287;51573;42;B;AV;ROGER SALENGRO;74,30;Appartement;74;3
20288;53130;16;;RUE;ST MATHURIN;128,68;Appartement;130;5
20289;54184;5;;RUE;DE MOUZIMPRE;46,69;Appartement;45;2
20290;54215;55;;RUE;DE NANCY;120,95;Appartement;122;5
20291;54253;12;;RUE;DE LORRAINE;87,30;Appartement;81;4
20292;54329;29;;RUE;DU GENERAL LECLERC;34,00;Appartement;34;2
20293;54395;37;;RUE;SAINT DIZIER;45,58;Appartement;37;2
20294;54493;33;;RUE;DE RODANGE;128,20;Maison;96;5
20295;54547;3;;SQ;D OSLO;77,95;Appartement;84;4
20296;54578;2;;RUE;JEAN GIRAUDOUX;20,42;Appartement;20;1
20297;56083;2;;RUE;DE LA TOUR ST NICOLAS;53,81;Appartement;51;2
20298;58194;15;;RUE;ST MARTIN;27,25;Appartement;25;1
20299;59350;18;;RUE;DE THUMESNIL;29,81;Appartement;30;1
20300;59368;13;;RUE;GAY LUSSAC;86,41;Appartement;70;3
20301;60057;6;;RUE;PIERRE GARBET;55,00;Appartement;55;3
20302;60057;5;;RUE;NULLY D HECOURT;84,53;Appartement;82;4
20303;60057;34;;RUE;PIERRE JACOBY;65,03;Appartement;70;3
20304;60159;101;;RUE;SAINT JOSEPH;44,12;Appartement;43;2
20305;62119;74;;RUE;ARTHUR LAMENDIN;54,19;Appartement;54;3
20306;62119;855;;RUE;DE L HORLOGERIE;21,72;Appartement;16;1
20307;62193;257;;RUE;GARIBALDI;39,63;Appartement;39;2
20308;62473;11;;RUE;DU 8 MAI;52,93;Appartement;55;2
20309;64129;8;;RUE;JEAN JACQUES ROUSSEAU;48,54;Appartement;48;2
20310;64129;36;;RTE;DE BAYONNE;29,57;Appartement;35;1
20311;64320;49;;RUE;DU PORT;64,46;Appartement;58;2
20312;64348;19;;ALL;DU PIC D'ANIE;44,97;Appartement;44;2
20313;64445;7;;RUE;MANESCAU;51,60;Appartement;49;3
20314;64445;110;;BD;D ALSACE LORRAINE;90,44;Appartement;101;4
20315;64445;11;;AV;HENRI DUNANT;72,60;Appartement;71;4
20316;65440;26;;RUE;RAMOND;49,96;Appartement;50;3
20317;66003;25;;AV;DU VALLESPIR;11,06;Appartement;11;1
20318;69003;31;;AV;DES AVORAUX;62,01;Appartement;62;3
20319;69202;3;;ALL;DE LA GRAVIERE;80,00;Appartement;80;4
20320;69243;1;;RUE;GAMBETTA;64,00;Appartement;65;3
20321;69243;3;;RUE;NICOLAS SEVE;57,55;Appartement;61;3
20322;69244;21;;CHE;DE LA RAUDE;82,51;Appartement;82;3
20323;69264;56;;RUE;ROBERT SCHUMAN;48,35;Appartement;48;2
20324;69264;31;;PL;DES MARAIS;107,84;Appartement;117;5
20325;69266;1;;PL;DES PASSEMENTIERS;30,48;Appartement;31;1
20326;69266;44;;RUE;ANTONIN PERRIN;54,68;Appartement;54;3
20327;69381;43;;RUE;PIERRE DUPONT;40,07;Appartement;48;3
20328;69381;14;;RUE;DES CAPUCINS;67,33;Appartement;68;2
20329;69385;107;;QUAI;PIERRE SCIZE;23,04;Appartement;30;1
20330;69387;11;;RUE;CLAUDE BOYER;68,74;Maison;77;3
20331;69387;68;;RUE;DU REPOS;49,25;Appartement;49;2
20332;69387;43;;RUE;CHALLEMEL LACOUR;67,40;Appartement;71;3
20333;69388;30;;RUE;BATAILLE;33,66;Appartement;33;2
20334;69388;3;B;RUE;FLORENT;174,89;Appartement;150;6
20335;69388;11;;RUE;ST GERVAIS;50,05;Appartement;50;1
20336;69388;18;;RUE;HENRI PENSIER;45,90;Appartement;46;2
20337;69389;1;;RUE;PERE LOUIS DE GALARD;65,36;Appartement;65;3
20338;69389;2;;SQ;MAURICE RAVEL;61,39;Appartement;61;4
20339;70311;6;;RUE;L O FROSSARD;79,32;Appartement;65;5
20340;72003;8;;IMP;D AQUITAINE;57,66;Appartement;57;3
20341;72181;66;;RUE;GUILLAUME APOLLINAIRE;99,43;Maison;92;5
20342;74012;35;;AV;DE LA GARE;82,45;Appartement;86;4
20343;74134;154;;RUE;DU VIEUX VILLAGE;29,52;Appartement;30;2
20344;74160;3551;;RTE;DU COL DE MERDASSIER;22,37;Appartement;23;2
